"Phi [deg]","Theta [deg]","Freq [MHz]","cang_deg_val(rETheta) []"
0,-90,380,160.143501100696
0,-90,380.5,159.96152948427
0,-90,381,159.776582257737
0,-90,381.5,159.588585175459
0,-90,382,159.397461212846
0,-90,382.5,159.203131266687
0,-90,383,159.00551354338
0,-90,383.5,158.804523574124
0,-90,384,158.600074077524
0,-90,384.5,158.39207503802
0,-90,385,158.180433344059
0,-90,385.5,157.965052785859
0,-90,386,157.745834069942
0,-90,386.5,157.522673491481
0,-90,387,157.295466648195
0,-90,387.5,157.064102820698
0,-90,388,156.828469019062
0,-90,388.5,156.588446751424
0,-90,389,156.343915041433
0,-90,389.5,156.094748028541
0,-90,390,155.840816124423
0,-90,390.5,155.581984651268
0,-90,391,155.318113443854
0,-90,391.5,155.049059632918
0,-90,392,154.774673338837
0,-90,392.5,154.494799816804
0,-90,393,154.209279052541
0,-90,393.5,153.917945230768
0,-90,394,153.620626477897
0,-90,394.5,153.31714672766
0,-90,395,153.007318196711
0,-90,395.5,152.69095152974
0,-90,396,152.367848735292
0,-90,396.5,152.037804748774
0,-90,397,151.700607005463
0,-90,397.5,151.35601438095
0,-90,398,151.003860438418
0,-90,398.5,150.64384767833
0,-90,399,150.275750695206
0,-90,399.5,149.899314686323
0,-90,400,149.514277974747
0,-90,400.5,149.120366974667
0,-90,401,148.717298823154
0,-90,401.5,148.304780737379
0,-90,402,147.882507608444
0,-90,402.5,147.450169040832
0,-90,403,147.007437609319
0,-90,403.5,146.553976748452
0,-90,404,146.08943793178
0,-90,404.5,145.613460219386
0,-90,405,145.125671638673
0,-90,405.5,144.62568703887
0,-90,406,144.11306672035
0,-90,406.5,143.587482329285
0,-90,407,143.048470367467
0,-90,407.5,142.495594322579
0,-90,408,141.928404470519
0,-90,408.5,141.346437869231
0,-90,409,140.749253628261
0,-90,409.5,140.136281349481
0,-90,410,139.507061503203
0,-90,410.5,138.861083951872
0,-90,411,138.197821439493
0,-90,411.5,137.51673872533
0,-90,412,136.81728760102
0,-90,412.5,136.098914794656
0,-90,413,135.361057677482
0,-90,413.5,134.603147543939
0,-90,414,133.824611852713
0,-90,414.5,133.024875593912
0,-90,415,132.203364475909
0,-90,415.5,131.359506232875
0,-90,416,130.492735233511
0,-90,416.5,129.602496651813
0,-90,417,128.688248349365
0,-90,417.5,127.749466215718
0,-90,418,126.785649878296
0,-90,418.5,125.796326847044
0,-90,419,124.781059177213
0,-90,419.5,123.739449650496
0,-90,420,122.671148493262
0,-90,420.5,121.575860885097
0,-90,421,120.453353539008
0,-90,421.5,119.303465328754
0,-90,422,118.126113708925
0,-90,422.5,116.92130341592
0,-90,423,115.689135495502
0,-90,423.5,114.429815658946
0,-90,424,113.143661858596
0,-90,424.5,111.831113354016
0,-90,425,110.492724576226
0,-90,425.5,109.129207782268
0,-90,426,107.741434565491
0,-90,426.5,106.330350629721
0,-90,427,104.897092503735
0,-90,427.5,103.442871702276
0,-90,428,101.969215759733
0,-90,428.5,100.477689076007
0,-90,429,98.9698877234314
0,-90,429.5,97.4476741538223
0,-90,430,95.9129686306368
0,-90,430.5,94.3678264865104
0,-90,431,92.8144042662096
0,-90,431.5,91.254850674309
0,-90,432,89.6914383477166
0,-90,432.5,88.1264512338579
0,-90,433,86.5621894160949
0,-90,433.5,85.0009491446514
0,-90,434,83.4449928983257
0,-90,434.5,81.8965371260764
0,-90,435,80.3577552785592
0,-90,435.5,78.830711666914
0,-90,436,77.3173856020323
0,-90,436.5,75.8196461409795
0,-90,437,74.3392304734158
0,-90,437.5,72.877765669101
0,-90,438,71.4367119059313
0,-90,438.5,70.0174052465562
0,-90,439,68.6210311563043
0,-90,439.5,67.2486715282016
0,-90,440,65.901110643093
0,-90,440.5,64.5792611122612
0,-90,441,63.2835842519416
0,-90,441.5,62.0146732512543
0,-90,442,60.7728706387441
0,-90,442.5,59.5584185910307
0,-90,443,58.3714580225453
0,-90,443.5,57.2120318893963
0,-90,444,56.0800923846523
0,-90,444.5,54.9755072535559
0,-90,445,53.8980711159527
0,-90,445.5,52.8475126642058
0,-90,446,51.8235024746452
0,-90,446.5,50.8256603130228
0,-90,447,49.8535629936519
0,-90,447.5,48.9067508282197
0,-90,448,47.9847350992805
0,-90,448.5,47.0869965716708
0,-90,449,46.2130051357258
0,-90,449.5,45.3622072654816
0,-90,450,44.5340428788328
0,-90,450.5,43.7279403344352
0,-90,451,42.9433289003006
0,-90,451.5,42.1796323414879
0,-90,452,41.4362766867096
0,-90,452.5,40.7126915229805
0,-90,453,40.0083084694628
0,-90,453.5,39.3225788341027
0,-90,454,38.6549493805209
0,-90,454.5,38.0048739159809
0,-90,455,37.3718258712842
0,-90,455.5,36.7552869464205
0,-90,456,36.1547493118015
0,-90,456.5,35.5697212449162
0,-90,457,34.9997200152609
0,-90,457.5,34.4442771160614
0,-90,458,33.9029371035783
0,-90,458.5,33.3752578291235
0,-90,459,32.8608101456513
0,-90,459.5,32.3591780724268
0,-90,460,31.8699585383568
0,-90,460.5,31.392761288652
0,-90,461,30.9272086237821
0,-90,461.5,30.4729352846695
0,-90,462,30.0295881054249
0,-90,462.5,29.5968255810507
0,-90,463,29.1743179091006
0,-90,463.5,28.7617466049579
0,-90,464,28.3588037458707
0,-90,464.5,27.9651925209305
0,-90,465,27.5806259545066
0,-90,465.5,27.204827344812
0,-90,466,26.8375295183366
0,-90,466.5,26.478474682305
0,-90,467,26.1274139850885
0,-90,467.5,25.7841074748456
0,-90,468,25.4483234254596
0,-90,468.5,25.1198382381232
0,-90,469,24.7984364955025
0,-90,469.5,24.4839098642129
0,-90,470,24.1760575553035
0,-90,470.5,23.8746857886467
0,-90,471,23.5796073771495
0,-90,471.5,23.2906418603936
0,-90,472,23.0076149947265
0,-90,472.5,22.7303582674148
0,-90,473,22.4587094862709
0,-90,473.5,22.192511594539
0,-90,474,21.9316131628464
0,-90,474.5,21.6758678302381
0,-90,475,21.4251341537674
0,-90,475.5,21.1792757503267
0,-90,476,20.9381605447044
0,-90,476.5,20.7016609981208
0,-90,477,20.4696538984162
0,-90,477.5,20.2420199131469
0,-90,478,20.0186440538693
0,-90,478.5,19.799414785082
0,-90,479,19.5842243473658
0,-90,479.5,19.3729684936099
0,-90,480,19.1655463805112
